SITE,BLOCK,CULT,sev
CL22,A,TURBO,17
CL22,A,SH 7200,7
CL22,A,Hilliard,14
CL22,A,DG 9070,7
CL22,A,DG 9120,6
CL22,A,USG 3230,7
CL22,A,AGS 2024,4
CL22,A,Agrimaxx 513,3.5
CL22,A,SY Richie,8
CL22,A,SH 4400,8
CL22,A,DG 9701,6
CL22,A,LW2068,7
CL22,B,SH 4400,10
CL22,B,Hilliard,10
CL22,B,Agrimaxx 513,6.5
CL22,B,DG 9120,14
CL22,B,DG 9070,12
CL22,B,USG 3230,5
CL22,B,SH 7200,10
CL22,B,DG 9701,7
CL22,B,AGS 2024,10
CL22,B,TURBO,15
CL22,B,SY Richie,12
CL22,B,LW2068,10
CL22,A,Jamestown,7
CL22,A,SY 547,4
CL22,A,Agrimaxx 492,12
CL22,A,USG 3118,6
CL22,A,DG Shirley,4
CL22,B,Agrimaxx 492,10
CL22,B,DG Shirley,5
CL22,B,SY 547,3
CL22,B,Jamestown,12
CL22,B,USG 3118,8
RW22,A,Hilliard,8
RW22,A,USG 3230,3
RW22,A,AGS 2024,4
RW22,A,SH 7200,10
RW22,A,SY Richie,8
RW22,A,DG 9120,3
RW22,A,DG 9701,2
RW22,A,LW2068,10
RW22,A,SH 4400,12
RW22,A,Agrimaxx 513,5
RW22,A,TURBO,2
RW22,A,DG 9070,1.7
RW22,B,SH 7200,8
RW22,B,DG 9070,2
RW22,B,SY Richie,6
RW22,B,USG 3230,7
RW22,B,DG 9701,2
RW22,B,SH 4400,10
RW22,B,Hilliard,10
RW22,B,AGS 2024,6
RW22,B,Agrimaxx 513,3.5
RW22,B,DG 9120,4
RW22,B,LW2068,12
RW22,B,TURBO,4
RW22,A,DG Shirley,4
RW22,A,Jamestown,12
RW22,A,USG 3118,2
RW22,A,Agrimaxx 492,6
RW22,A,SY 547,1.5
RW22,B,SY 547,1
RW22,B,Jamestown,10
RW22,B,DG Shirley,6
RW22,B,Agrimaxx 492,4
RW22,B,USG 3118,2.7
SB22,A,LW2068,15
SB22,A,USG 3230,10
SB22,A,Agrimaxx 513,10
SB22,A,SY Richie,8
SB22,A,DG 9701,15
SB22,A,DG 9120,17
SB22,A,DG 9070,8
SB22,A,SH 4400,6
SB22,A,TURBO,10
SB22,A,AGS 2024,7
SB22,A,SH 7200,15
SB22,A,Hilliard,17
SB22,B,TURBO,12
SB22,B,DG 9070,12
SB22,B,SH 4400,17
SB22,B,DG 9120,10
SB22,B,Agrimaxx 513,6
SB22,B,DG 9701,17
SB22,B,SY Richie,10
SB22,B,Hilliard,8
SB22,B,LW2068,6
SB22,B,AGS 2024,6
SB22,B,USG 3230,5
SB22,B,SH 7200,17
SB22,A,Jamestown,20
SB22,A,USG 3118,15
SB22,A,DG Shirley,10
SB22,A,SY 547,4.5
SB22,A,Agrimaxx 492,17
SB22,B,USG 3118,10
SB22,B,Jamestown,15
SB22,B,SY 547,8
SB22,B,DG Shirley,6
SB22,B,Agrimaxx 492,15
MR22,A,USG 3230,2
MR22,A,DG 9120,3
MR22,A,Hilliard,3.5
MR22,A,Agrimaxx 513,2
MR22,A,DG 9070,3
MR22,A,AGS 2024,5
MR22,A,LW2068,3
MR22,A,SH 4400,7
MR22,A,DG 9701,4
MR22,A,TURBO,8
MR22,A,SH 7200,4.5
MR22,A,SY Richie,2
MR22,B,DG 9070,2
MR22,B,LW2068,3
MR22,B,Hilliard,2
MR22,B,SH 4400,8
MR22,B,SH 7200,5
MR22,B,Agrimaxx 513,1.5
MR22,B,TURBO,3
MR22,B,AGS 2024,5
MR22,B,DG 9120,4
MR22,B,USG 3230,3
MR22,B,SY Richie,4
MR22,B,DG 9701,3
MR22,A,DG Shirley,1.7
MR22,A,USG 3118,4
MR22,A,Agrimaxx 492,5
MR22,A,SY 547,2
MR22,A,Jamestown,5
MR22,B,SY 547,1
MR22,B,Jamestown,6
MR22,B,DG Shirley,1
MR22,B,USG 3118,4
MR22,B,Agrimaxx 492,5
PY22,A,SH 4400,3
PY22,A,DG 9701,2.5
PY22,A,AGS 2024,2.5
PY22,A,DG 9070,4
PY22,A,Hilliard,2
PY22,A,DG 9120,2
PY22,A,LW2068,0.3
PY22,A,Agrimaxx 513,2
PY22,A,SY Richie,3
PY22,A,TURBO,4
PY22,A,USG 3230,0.9
PY22,A,SH 7200,2
PY22,B,Agrimaxx 513,4
PY22,B,Hilliard,6
PY22,B,DG 9701,2.7
PY22,B,USG 3230,1
PY22,B,TURBO,5
