"","SITE","fa1","fa2","fa3","VAR","predicted_DATE","observed_DATE","predicted_DOY","observed_DOY","diff"
"1","AL24",0.383346837201343,0.256014184624268,-0.0948295896470643,"sev",2024-04-18,2024-04-15,109,106,3
"2","BE24",0.0950508259151364,0.0431186614576304,0.318103701081595,"sev",2024-04-18,2024-04-13,109,104,5
"3","CL22",0.0656674001506489,0.156741292023474,0.354561471864037,"sev",2022-04-24,2022-04-24,114,114,0
"4","KS22",0.0370182979714112,0.0925375012281856,-0.0343050843844565,"sev",2022-04-17,2022-04-17,107,107,0
"5","KS23",0.177935968094939,0.196841289057245,0.151607994777013,"sev",2023-04-14,2023-04-10,104,100,4
"6","KS24",0.163714128552375,0.135119304806549,0.0656290060466148,"sev",2024-04-16,2024-04-13,107,104,3
"7","LB23",0.269824654799609,-0.295351616816774,-0.0113764553123783,"sev",2023-04-10,2023-04-18,100,108,-8
"8","LB24",0.422124417281276,0.31978216400129,0.0560851776097302,"sev",2024-04-14,2024-04-18,105,109,-4
"9","MR22",0.0591635260302823,-0.016925843748179,0.193298148909612,"sev",2022-04-21,2022-04-22,111,112,-1
"10","OX23",0.1953468141362,0.0150051473362786,0.371673712662041,"sev",2023-04-21,2023-04-22,111,112,-1
"11","PY22",0.100564288005959,0.121394213909756,0.0208528097037973,"sev",2022-04-22,2022-04-20,112,110,2
"12","PY23",0.174280364095784,-0.385335459514635,0.134218125264463,"sev",2023-04-17,2023-04-22,107,112,-5
"13","RO24",0.113989706752168,0.185898872763007,0.0434140968103498,"sev",2024-04-25,2024-04-27,116,118,-2
"14","RW22",0.0374612462667862,-0.346815247673238,0.10629200981545,"sev",2022-04-13,2022-04-13,103,103,0
"15","SB22",0.193484146426187,-0.194592724939728,-0.018018450944031,"sev",2022-04-25,2022-04-23,115,113,2
"16","SB23",0.497724488661219,-0.218953297668985,0.156177839678558,"sev",2023-04-21,2023-04-14,111,104,7
"17","SB24",0.279578449532841,-0.405165504646506,-0.419637473780637,"sev",2024-04-24,2024-04-15,115,106,9
"18","UN23",0.262670282506724,0.290573206913897,-0.569570146803814,"sev",2023-04-15,2023-04-20,105,110,-5
